original_skill,normalized_skill
- Có khả năng tiếp thu kiến thức lái xe tốt. - Có thể giao tiếp với người nước ngoài bằng tiếng anh lưu loát. - Có thể xử lý các tình huống trên đường chuyên nghiệp. - Tạo ra được những hiệu ứng tích cực cho các tài xế trong đội xe. - Biết sử dụng máy tính và các phần mềm hỗ trợ trong quá trình lái xe. - Có trách nhiệm cao với công việc,có khả năng tiếp thu kiến thức lái xe tốt. - có thể giao tiếp với người nước ngoài bằng tiếng anh lưu loát. - có thể xử lý các tình huống trên đường chuyên nghiệp. - tạo ra được những hiệu ứng tích cực cho các tài xế trong đội xe. - biết sử dụng máy tính và các phần mềm hỗ trợ trong quá trình lái xe. - có trách nhiệm cao với công việc
- Có khả năng đàm phán với khách hàng đạt hiệu quả cao - Ưu tiên có kinh nghiệm phát triển đại lý và quản lý kênh phân phối - Đam mê kinh doanh,có khả năng đàm phán với khách hàng đạt hiệu quả cao - ưu tiên có kinh nghiệm phát triển đại lý và quản lý kênh phân phối - đam mê kinh doanh
- Có kinh nghiệm trong ngành viết lách như content,có kinh nghiệm trong ngành viết lách như content
- Có kỹ năng giao tiếp tốt - Khả năng tìm kiếm thông tin nhanh nhẹn,có kỹ năng giao tiếp tốt - khả năng tìm kiếm thông tin nhanh nhẹn
- Có laptop cá nhân,có laptop cá nhân
- Có niềm say mê trong công việc - Giao tiếp,có niềm say mê trong công việc - giao tiếp
- Có niềm say mê trong công việc - Kỹ năng giao tiếp tốt (điện thoại,có niềm say mê trong công việc - kỹ năng giao tiếp tốt (điện thoại
- Có thể ghi nhớ tên cùng vị trí đường ngay cả khi mới đi qua 1 lần - Là người có tinh thần trách nhiệm cao,có thể ghi nhớ tên cùng vị trí đường ngay cả khi mới đi qua 1 lần - là người có tinh thần trách nhiệm cao
- Có trình độ về tin học văn phòng,có trình độ về tin học văn phòng
- Có trí nhớ lâu. - Ý thức trách nhiệm tốt với khách trên xe và hàng hóa,có trí nhớ lâu. - ý thức trách nhiệm tốt với khách trên xe và hàng hóa
- Có từ 1 năm kinh nghiệm ở vị trí tương đương- Có kinh nghiệm làm Video Motion Graphic- Thành thạo các phần mềm edit video như After Effect,có từ 1 năm kinh nghiệm ở vị trí tương đương- có kinh nghiệm làm video motion graphic- thành thạo các phần mềm edit video như after effect
- Có từ 1-2 năm kinh nghiệm ở vị trí tương đương. Cẩn thận,có từ 1-2 năm kinh nghiệm ở vị trí tương đương. cẩn thận
- Có ít nhất 01 năm kinh nghiệm ở vị trí tương đương,có ít nhất 01 năm kinh nghiệm ở vị trí tương đương
- Có ít nhất 02 năm kinh nghiệm ở vị trí tương đương.- Am hiểu về các phương tiện truyền thông,có ít nhất 02 năm kinh nghiệm ở vị trí tương đương.- am hiểu về các phương tiện truyền thông
- Cẩn thận,cẩn thận
- Hiểu rõ khách hàng - Khả năng trông rộng - Khả năng giao tiếp- Giải quyết khó khăn- Thúc đẩy kinh doanh quản lý đất đai,hiểu rõ khách hàng - khả năng trông rộng - khả năng giao tiếp- giải quyết khó khăn- thúc đẩy kinh doanh quản lý đất đai
- Hiểu rõ luật giao thông nên đảm bảo hành trình di chuyển luôn tuân thủ đúng quy định. - Có tính cẩn thận,hiểu rõ luật giao thông nên đảm bảo hành trình di chuyển luôn tuân thủ đúng quy định. - có tính cẩn thận
- Hiểu rõ tính chất sản xuất và quy trình thi công để tư vấn cho khách hàng một cách hợp lý,hiểu rõ tính chất sản xuất và quy trình thi công để tư vấn cho khách hàng một cách hợp lý
- Không quá 40 tuổi - Yêu thích công việc tư vấn,không quá 40 tuổi - yêu thích công việc tư vấn
- Khả năng nhớ đường tốt,khả năng nhớ đường tốt
- Kỹ năng giao tiếp,kỹ năng giao tiếp
- Kỹ năng làm việc nhóm - Kỹ năng văn phòng - tin học - Kỹ năng giao tiếp - Kỹ năng giải quyết vấn đề,kỹ năng làm việc nhóm - kỹ năng văn phòng - tin học - kỹ năng giao tiếp - kỹ năng giải quyết vấn đề
- Kỹ năng lập kế hoạch,kỹ năng lập kế hoạch
- Kỹ năng lắng nghe và giải quyết vấn đề hiệu quả. - Kỹ năng giao tiếp tốt (điện thoại,kỹ năng lắng nghe và giải quyết vấn đề hiệu quả. - kỹ năng giao tiếp tốt (điện thoại
- Luôn đặt công việc làm ưu tiên hàng đầu trong cuộc sống - Có thể đi công tác xa nhà trong thời gian dài - Có khả năng ghi nhớ đường tốt,luôn đặt công việc làm ưu tiên hàng đầu trong cuộc sống - có thể đi công tác xa nhà trong thời gian dài - có khả năng ghi nhớ đường tốt
- Là người yêu thích quảng cáo,là người yêu thích quảng cáo
- Lên dự thảo hợp đồng sau khi khách hàng đã đồng ý các điều khoản,lên dự thảo hợp đồng sau khi khách hàng đã đồng ý các điều khoản
- Lập kế hoạch công việc,lập kế hoạch công việc
- Muốn phấn đấu trở thành nhân viên lái xe ưu tú xuất sắc để nhận thưởng theo quy định của công ty - Muốn được nâng cao kiến thức,muốn phấn đấu trở thành nhân viên lái xe ưu tú xuất sắc để nhận thưởng theo quy định của công ty - muốn được nâng cao kiến thức
- Nam,nam
- Nhận và xử lý các khiếu nại của khách hàng về chất lượng sản phẩm,nhận và xử lý các khiếu nại của khách hàng về chất lượng sản phẩm
- Những công việc khác theo sự phân công của quản lý trực tiếp,những công việc khác theo sự phân công của quản lý trực tiếp
- Năng động,năng động
- Nắm rõ luật giao thông và luôn chấp hành nghiêm chỉnh luật giao thông khi tham gia trên đường - Luôn ý thức được hành vi của bản thân khi đang điều khiển phương tiện giao thông trên đường - Tuân thủ đúng quy định mà Nhà nước và doanh nghiệp đề ra đối với nghiệp vụ lái xe như chạy đúng tốc độ,nắm rõ luật giao thông và luôn chấp hành nghiêm chỉnh luật giao thông khi tham gia trên đường - luôn ý thức được hành vi của bản thân khi đang điều khiển phương tiện giao thông trên đường - tuân thủ đúng quy định mà nhà nước và doanh nghiệp đề ra đối với nghiệp vụ lái xe như chạy đúng tốc độ
- Nắm được quy trình tiếp xúc khách hàng,nắm được quy trình tiếp xúc khách hàng
- Quản trị Kinh doanh hoăc các chuyên nghành liên quan. - Từ 1-3 năm kinh nghiệm tại vị trí ứng tuyển. - Ưu tiên ứng viên có kinh nghiệm làm việc tại các chuỗi kinh doanh bán lẻ,quản trị kinh doanh hoăc các chuyên nghành liên quan. - từ 1-3 năm kinh nghiệm tại vị trí ứng tuyển. - ưu tiên ứng viên có kinh nghiệm làm việc tại các chuỗi kinh doanh bán lẻ
- Sử dụng thành thạo tin học văn phòng (excel,sử dụng thành thạo tin học văn phòng (excel
- Sự hiểu biết và tính ham học hỏi - Giao tiếp,sự hiểu biết và tính ham học hỏi - giao tiếp
- Sự hiểu biết và tính ham học hỏi - Kỹ năng giao tiếp linh hoạt,sự hiểu biết và tính ham học hỏi - kỹ năng giao tiếp linh hoạt
- Sự hiểu biết và tính ham học hỏi - Kỹ năng giao tiếp tốt (điện thoại,sự hiểu biết và tính ham học hỏi - kỹ năng giao tiếp tốt (điện thoại
- Sự hiểu biết và tính ham học hỏi - Kỹ năng thuyết trình tốt - Khả năng thích ứng với công việc nhanh - Có khả năng quản lý,sự hiểu biết và tính ham học hỏi - kỹ năng thuyết trình tốt - khả năng thích ứng với công việc nhanh - có khả năng quản lý
- Theo dõi quá trình thanh lý hợp đồng,theo dõi quá trình thanh lý hợp đồng
- Thiết lập những những mối quan hệ khách hàng mới bằng việc lập kế hoạch và tổ chức lịch làm việc hàng ngày,thiết lập những những mối quan hệ khách hàng mới bằng việc lập kế hoạch và tổ chức lịch làm việc hàng ngày
- Thành thạo RESTful,thành thạo restful
- Thân thiện và linh động trong mọi tình huống - Giao tiếp,thân thiện và linh động trong mọi tình huống - giao tiếp
- Thân thiện và linh động trong mọi tình huống - Kỹ năng giao tiếp tốt (điện thoại,thân thiện và linh động trong mọi tình huống - kỹ năng giao tiếp tốt (điện thoại
- Tiếp thu tốt các kiến thức lái xe,tiếp thu tốt các kiến thức lái xe
- Trung thực,trung thực
- Trung thực,trung thực
- Trình độ Thạc sĩ trở lên Chuyên ngành Kỹ thuật Ô tô,trình độ thạc sĩ trở lên chuyên ngành kỹ thuật ô tô
- Trình độ chuyên môn: Tài chính – kế toán hoặc chuyên ngành liên quan- Sử dụng thành thạo tin học văn phòng- Ưu tiên ứng viên đã có kinh nghiệm- Biết hạch toán chi phí- Nhanh nhẹn,trình độ chuyên môn: tài chính – kế toán hoặc chuyên ngành liên quan- sử dụng thành thạo tin học văn phòng- ưu tiên ứng viên đã có kinh nghiệm- biết hạch toán chi phí- nhanh nhẹn
- Trình độ trung cấp trở lên.- Sử dụng thành thạo tin học văn phòng.- Kỹ năng giao tiếp,trình độ trung cấp trở lên.- sử dụng thành thạo tin học văn phòng.- kỹ năng giao tiếp
- Trình độ: Tốt nghiệp ĐH chuyên ngành Kinh doanh,trình độ: tốt nghiệp đh chuyên ngành kinh doanh
- Trình độ: cấp 2 trở lên - Không cần kinh nghiệm,trình độ: cấp 2 trở lên - không cần kinh nghiệm
- Trình độ: tốt nghiệp các trường Cao Đẳng,trình độ: tốt nghiệp các trường cao đẳng
- Trực tiếp thực hiện,trực tiếp thực hiện
- Tuổi từ 24 - 39- Tốt nghiệp Cao Đẳng,tuổi từ 24 - 39- tốt nghiệp cao đẳng
- Tuổi từ 24-39- Tốt nghiệp Cao Đẳng trở lên- Từng là nhân viên kinh doanh,tuổi từ 24-39- tốt nghiệp cao đẳng trở lên- từng là nhân viên kinh doanh
- Tác phong chuyên nghiệp.,tác phong chuyên nghiệp
- Tìm hiểu nhu cầu của khách hàng,tìm hiểu nhu cầu của khách hàng
- Tôi tự tin rằng mình có khả năng ghi nhớ tốt đối với những quãng đường từng đi qua,tôi tự tin rằng mình có khả năng ghi nhớ tốt đối với những quãng đường từng đi qua
- Tốt nghiệp Cao đẳng trở lên chuyên ngành kế toán,tốt nghiệp cao đẳng trở lên chuyên ngành kế toán
- Tốt nghiệp Trung cấp,tốt nghiệp trung cấp
- Tốt nghiệp tối thiểu Cao đẳng chuyên nghành Marketing,tốt nghiệp tối thiểu cao đẳng chuyên nghành marketing
- Tốt nghiệp đại học hoặc cao đẳng ngành có liên quan (Học viện hàng không,tốt nghiệp đại học hoặc cao đẳng ngành có liên quan (học viện hàng không
- Xử lý tình huống và nắm bắt thông tin nhanh.- Thành thạo tin học văn phòng.- Kỹ năng giao tiếp,xử lý tình huống và nắm bắt thông tin nhanh.- thành thạo tin học văn phòng.- kỹ năng giao tiếp
- Yêu cầu: Tối thiểu >5 năm kinh nghiệm ở vị trí quản lý khác sạn nhà hàng lớn.- Hiểu biết sâu về ẩm thực.- Tiếng Anh giao tiếp tốt.- Thành thạo vi tính văn phòng- Kỹ năng lập kế hoạch- Kỹ năng lãnh đạo- Kỹ năng tổ chức,yêu cầu: tối thiểu >5 năm kinh nghiệm ở vị trí quản lý khác sạn nhà hàng lớn.- hiểu biết sâu về ẩm thực.- tiếng anh giao tiếp tốt.- thành thạo vi tính văn phòng- kỹ năng lập kế hoạch- kỹ năng lãnh đạo- kỹ năng tổ chức
- Đam mê làm giàu,đam mê làm giàu
- Đã có bằng lái xe B2,đã có bằng lái xe b2
- Độ tuổi phù hợp từ 25 - 32 tuổi.- Giới tính: Nam- Tối thiểu 3 năm kinh nghiệm tại vị trí tương tự trong doanh nghiệp.- Đã tốt nghiệp trình độ Đại học,độ tuổi phù hợp từ 25 - 32 tuổi.- giới tính: nam- tối thiểu 3 năm kinh nghiệm tại vị trí tương tự trong doanh nghiệp.- đã tốt nghiệp trình độ đại học
- Độ tuổi: 18-28 tuổi,độ tuổi: 18-28 tuổi
- Độ tuổi: Nam,độ tuổi: nam
- Độ tuổi: trên 23 tuổi- Trình độ học vấn: Cử nhân,độ tuổi: trên 23 tuổi- trình độ học vấn: cử nhân
- đủ 18t trở lên - có cmnd hoặc cccd,đủ 18t trở lên - có cmnd hoặc cccd
- Ưu tiên có kinh nghiệm ở vị trí nhân viên kinh doanh( chưa có kinh nghiệm sẽ được đào tạo)- Trung thực,ưu tiên có kinh nghiệm ở vị trí nhân viên kinh doanh( chưa có kinh nghiệm sẽ được đào tạo)- trung thực
-Kinh nghiệm: Yêu cầu kinh nghiệm >1 năm,kinh nghiệm: yêu cầu kinh nghiệm >1 năm
-Nhiệt tình,nhiệt tình
-Thành thạo phần mềm Misa,thành thạo phần mềm misa
-Trung thực,trung thực
-Tuổi: Từ 20-40 tuổi -Trình độ: tốt nghiệp trung cấp,tuổi: từ 20-40 tuổi -trình độ: tốt nghiệp trung cấp
-Tốt nghiệp THPT trở lên -Nam,tốt nghiệp thpt trở lên -nam
-Tốt nghiệp trung cấp trở lên-Kỹ năng giao tiếp,tốt nghiệp trung cấp trở lên-kỹ năng giao tiếp
..- Sử dụng thành thạo các phần mềm kế toán liên quan (fast,sử dụng thành thạo các phần mềm kế toán liên quan (fast
...,
... - Có khả năng ghi nhớ đường cực tốt,có khả năng ghi nhớ đường cực tốt
...) Có sức khoẻ tốt,có sức khoẻ tốt
...- Có khả năng phân tích,có khả năng phân tích
...- Hiểu biết về mạng xã hội: Facebook,hiểu biết về mạng xã hội: facebook
...- Định hướng phát triển lâu dài đối với lĩnh vực Bảo hiểm nhân thọ- Kỹ năng giao tiếp,định hướng phát triển lâu dài đối với lĩnh vực bảo hiểm nhân thọ- kỹ năng giao tiếp
.... - Kỹ năng giao tiếp,kỹ năng giao tiếp
...2. Có đam mê với việc bán hàng.3. Cầu tiến,2. có đam mê với việc bán hàng.3. cầu tiến
.NET MVC ADO.NET,net mvc ado.net
02,02
02 năm kinh nghiệm với vị trí tương đươngTốt nghiệp Cao đẳng trở lên,02 năm kinh nghiệm với vị trí tương đươngtốt nghiệp cao đẳng trở lên
1. Có kinh nghiệm tư vấn chốt đơn online qua: shopee,1. có kinh nghiệm tư vấn chốt đơn online qua: shopee
1. Nam Tốt nghiệp Cao Đẳng,1. nam tốt nghiệp cao đẳng
1. Trình độ học vấn: Tốt nghiệp cao đẳng,1. trình độ học vấn: tốt nghiệp cao đẳng
1. Tốt nghiệp Cao đẳng trở lên chuyên ngành hệ thống điện. 2. Kinh nghiệm làm việc: Ưu tiên những ứng viên đã có kinh nghiệm về thiết kế điện nhà công nghiệp và dân dụng,1. tốt nghiệp cao đẳng trở lên chuyên ngành hệ thống điện. 2. kinh nghiệm làm việc: ưu tiên những ứng viên đã có kinh nghiệm về thiết kế điện nhà công nghiệp và dân dụng
1. Tốt nghiệp Đại học,1. tốt nghiệp đại học
1.Độ tuổi phù hợp: 25 - 35 tuổi.2.Trình độ Cao đẳng trở lên3.Tối thiểu 2 năm kinh nghiệm4.Hiểu biết các quy định hiện hành về công tác hành chính – văn thư5.Có khả năng bao quát,1.độ tuổi phù hợp: 25 - 35 tuổi.2.trình độ cao đẳng trở lên3.tối thiểu 2 năm kinh nghiệm4.hiểu biết các quy định hiện hành về công tác hành chính – văn thư5.có khả năng bao quát
12,12
12 sức khỏe tốt,12 sức khỏe tốt
2022 Mức lương: 7 - 10 triệu Chat ngay Thông tin - Chức vụ: Nhân viên - Kinh nghiệm: Không yêu cầu - Hình thức làm việc: Toàn thời gian cố định - Yêu cầu bằng cấp: Không yêu cầu - Yêu cầu giới tính: Không yêu cầu - Số lượng cần tuyển: 20 ứng viên - Hoa Hồng: 10 đến 30% - Thời gian thử việc: 2 - Ngành nghề: Lao động phổ thông - Lĩnh vực: Công Nhân Mô tả công việc tuyển dụng lao động phổ thông lắp ráp,2022 mức lương: 7 - 10 triệu chat ngay thông tin - chức vụ: nhân viên - kinh nghiệm: không yêu cầu - hình thức làm việc: toàn thời gian cố định - yêu cầu bằng cấp: không yêu cầu - yêu cầu giới tính: không yêu cầu - số lượng cần tuyển: 20 ứng viên - hoa hồng: 10 đến 30% - thời gian thử việc: 2 - ngành nghề: lao động phổ thông - lĩnh vực: công nhân mô tả công việc tuyển dụng lao động phổ thông lắp ráp
2022(1 tháng trước) Tỉnh thành tuyển dụng: Hồ Chí Minh Quận huyện tuyển dụng: Quận 9 Địa điểm tuyển dụng: 466 Nguyễn Duy Trinh,2022(1 tháng trước) tỉnh thành tuyển dụng: hồ chí minh quận huyện tuyển dụng: quận 9 địa điểm tuyển dụng: 466 nguyễn duy trinh
5 tiếng)10. Địa điểm: 66 Xuân Diệu,5 tiếng)10. địa điểm: 66 xuân diệu
????Cần tuyển nhân viên làm toàn thời gian cho siêu thị và cửa hàng ở Bình Thạnh ???? Cần bổ sung vào các vị trí làm việc như sau???? ????Vị trí tuyển dụng cụ thể???? 02 Nhân viên quầy bán hàng +01 Nhân viên thu ngân +03 Nhân viên nam phụ kho ????Công việc cụ thể???? ????Nhân viên bán hàng: kiểm tra sắp xếp hàng hoá số lượng chất lượng sản phẩm lên kệ quầy đúng nơi qui định,cần tuyển nhân viên làm toàn thời gian cho siêu thị và cửa hàng ở bình thạnh ???? cần bổ sung vào các vị trí làm việc như sau???? ????vị trí tuyển dụng cụ thể???? 02 nhân viên quầy bán hàng +01 nhân viên thu ngân +03 nhân viên nam phụ kho ????công việc cụ thể???? ????nhân viên bán hàng: kiểm tra sắp xếp hàng hoá số lượng chất lượng sản phẩm lên kệ quầy đúng nơi qui định
AI hoặc các phần mềm tương đương. - Thể hiện được đầy đủ khả năng làm banner,ai hoặc các phần mềm tương đương. - thể hiện được đầy đủ khả năng làm banner
ASP.NET WebForms,asp.net webforms
Agile,agile
Ajax,ajax
Algorithm,algorithm
Analytics,analytics
Autocad,autocad
BHYT + Sau 6 tháng gắn bó làm việc sẽ được hưởng lương tháng thứ 13 LIÊN HỆ TRỰC TIẾP SẼ ĐƯỢC ƯU TIÊN SẮP XẾP VÀO VỊ TRÍ MÌNH MUỐN,bhyt + sau 6 tháng gắn bó làm việc sẽ được hưởng lương tháng thứ 13 liên hệ trực tiếp sẽ được ưu tiên sắp xếp vào vị trí mình muốn
BHYT và các chế độ khác theo quy định của nhà nước tốt nghiệp cấp 2 trở lên : 9,bhyt và các chế độ khác theo quy định của nhà nước tốt nghiệp cấp 2 trở lên : 9
Biết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trên,biết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trên
Biết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trên Chăm chỉ,biết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trên chăm chỉ
Biết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trên Hòa đồng,biết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trên hòa đồng
Biết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trênChăm chỉ,biết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trênchăm chỉ
Biết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trênTinh thần trách nhiệm trong công việcChịu được áp lực trong công việcHòa đồng,biết lắng nghe tiếp thu ý kiến của đồng nghiệp và cấp trêntinh thần trách nhiệm trong công việcchịu được áp lực trong công việchòa đồng
Business Administration or related field…• Good communication & presentation skills• Good management & organization skills• Dynamic,business administration or related field…• good communication & presentation skills• good management & organization skills• dynamic
Bất Động Sản,bất động sản
BẰNG CẤP,bằng cấp
CD,cd
CD tools such as Jenkins,cd tools such as jenkins
CNTT- Chuyên ngành: Khối ngành kinh tế,cntt- chuyên ngành: khối ngành kinh tế
CNTT- Giới tính: Nam- Độ tuổi: >30- Kinh nghiệm và năng lực: Có kinh nghiệm kinh doanh dự án,cntt- giới tính: nam- độ tuổi: >30- kinh nghiệm và năng lực: có kinh nghiệm kinh doanh dự án
CSS,css
Cao đẳng chính quy liên quan đến chuyên ngành cơ khí,cao đẳng chính quy liên quan đến chuyên ngành cơ khí
Cao đẳng các ngành có liên quan.,cao đẳng các ngành có liên quan
Cao đẳng ngành Du lịch,cao đẳng ngành du lịch
Cloud,cloud
Con người,con người
CorelDRAW (biết dựng 3D là lợi thế) - Có trên 1 năm kinh nghiệm Giờ làm việc: Sáng từ 7h30-11h30,coreldraw (biết dựng 3d là lợi thế) - có trên 1 năm kinh nghiệm giờ làm việc: sáng từ 7h30-11h30
CÔNG TY TNHH XE ĐIỆN BLUERA VIỆT NHẬT Chi tiết công ty Nhân Viên Sản Xuất,công ty tnhh xe điện bluera việt nhật chi tiết công ty nhân viên sản xuất
Có bằng cử nhân (ưu tiên)Có từ 6 tháng kinh nghiệm làm việc. Ưu tiên có kinh nghiệm về mặt tiếp xúc với khách hàng trong ngành giáo dục và,có bằng cử nhân (ưu tiên)có từ 6 tháng kinh nghiệm làm việc. ưu tiên có kinh nghiệm về mặt tiếp xúc với khách hàng trong ngành giáo dục và
Có chí tiến thủ đối với công việc Có khả năng đi xa,có chí tiến thủ đối với công việc có khả năng đi xa
Có khả năng chu toàn công việc,có khả năng chu toàn công việc
Có khả năng nắm bắt thông tin nhanh chóng,có khả năng nắm bắt thông tin nhanh chóng
Có khả năng đứng lớp đào tạo,có khả năng đứng lớp đào tạo
Có kinh nghiệm là một lợi thếGiao tiếp tốtTrung thực,có kinh nghiệm là một lợi thếgiao tiếp tốttrung thực
Có kinh nghiệm ở vị trí PM,có kinh nghiệm ở vị trí pm
Có kỹ năng excel cơ bản,có kỹ năng excel cơ bản
Có ngoại hình,có ngoại hình
Có những kỹ năng chuyên sâu trong vấn đề chuyển giao nhận hàng vì đã có kinh nghiệm. Biết cách phục vụ khách hàng,có những kỹ năng chuyên sâu trong vấn đề chuyển giao nhận hàng vì đã có kinh nghiệm. biết cách phục vụ khách hàng
CĐ Quân Y…),cđ quân y
CĐ Y tế Bạch Mai,cđ y tế bạch mai
CĐ Y tế Hà Nội,cđ y tế hà nội
Cơ khí động lực …. - Ứng viên đã có kinh nghiệm làm giảng viên hoặc làm trong các lĩnh vực liên quan đến giáo dục từ 2 năm trở lên.. - Có khả năng tổng hợp và hệ thống. - Kỹ năng thuyết trình tốt và truyền cảm hứng cho học viện. - Tôn trọng và hợp tác với đồng nghiệp. - Có chí tiến thủ và có nguyện vọng gắn bó lâu dài với Trường.,cơ khí động lực …. - ứng viên đã có kinh nghiệm làm giảng viên hoặc làm trong các lĩnh vực liên quan đến giáo dục từ 2 năm trở lên.. - có khả năng tổng hợp và hệ thống. - kỹ năng thuyết trình tốt và truyền cảm hứng cho học viện. - tôn trọng và hợp tác với đồng nghiệp. - có chí tiến thủ và có nguyện vọng gắn bó lâu dài với trường
Cửa hàng tiện lợi cần tuyển thêm 6 nhân viên- Công việc: + Sắp xếp,cửa hàng tiện lợi cần tuyển thêm 6 nhân viên- công việc: + sắp xếp
Data Structures,data structures
Docker● Experience working with common third-party APIs (LINE,docker● experience working with common third-party apis (line
Du Lịch,du lịch
Duy trì những quan hệ khách hàng hiện có,duy trì những quan hệ khách hàng hiện có
EJS,ejs
Eclipse... - Enthusiasm for technology with pulse on current trends and technologies in the area of mobile application development. - Experience with and understanding of integrating Android applications with Web services. - UI,eclipse... - enthusiasm for technology with pulse on current trends and technologies in the area of mobile application development. - experience with and understanding of integrating android applications with web services. - ui
ElasticSearch,elasticsearch
English Linguistics from renowned universities- At least 2-year teaching experience in Test Preparation courses (e.g. TOEFL,english linguistics from renowned universities- at least 2-year teaching experience in test preparation courses (e.g. toefl
Excel,excel
Excel- Trung thực,excel- trung thực
FMEA + Kỹ năng Kế toán: Phân tích chi phí,fmea + kỹ năng kế toán: phân tích chi phí
Flutter,flutter
